segment,segment_value,accounts,avg_pd,observed_default_rate,calibration_gap,approval_rate,exposure,exposure_share,expected_loss
age_band,26_35,2492,0.20209097572152138,0.19662921348314608,-0.005461762238375301,0.31942215088282505,448250000.0,0.0889581122693648,31273051.27385309
age_band,36_45,1775,0.2171962941084226,0.2236619718309859,0.006465677722563318,0.27661971830985915,338877680.0,0.06725246782603878,27424372.589984912
age_band,46_55,788,0.2403347297538553,0.2512690355329949,0.010934305779139591,0.217005076142132,133540000.0,0.026501876882210767,11614354.490687514
age_band,18_25,767,0.27483791702935606,0.25554106910039115,-0.01929684792896491,0.14863102998696218,58820000.0,0.011673209511843922,5734401.741144733
age_band,56_plus,178,0.255228046156452,0.25842696629213485,0.003198920135682848,0.19662921348314608,28290000.0,0.0056143335105417295,2521441.249428669
education_label,university,2774,0.23964046275865566,0.23648161499639508,-0.0031588477622605804,0.23071377072819033,404320000.0,0.08023991958226342,33663006.976851486
education_label,graduate_school,2130,0.19287275961879458,0.19014084507042253,-0.002731914548372044,0.33568075117370894,458130000.0,0.09091886218396898,33038557.902873028
education_label,high_school,1014,0.24688690090008317,0.257396449704142,0.010509548804058827,0.20414201183431951,130597680.0,0.025917954444079374,11237254.2764086
education_label,other,82,0.10761263378849073,0.06097560975609756,-0.04663702403239317,0.5487804878048781,14730000.0,0.0029232637896882178,628802.1889658001
limit_band,limit_q5_high,1236,0.13899717096755337,0.1650485436893204,0.026051372721767024,0.5129449838187702,466537680.0,0.09258742067000333,28540206.785713367
limit_band,limit_q4,1151,0.17424593609860828,0.16507384882710685,-0.009172087271501428,0.3831450912250217,252450000.0,0.05010033562164227,19757567.728767835
limit_band,limit_q3,1176,0.2050154261851688,0.20153061224489796,-0.0034848139402708367,0.30357142857142855,164110000.0,0.03256869114227654,14808038.960043626
limit_band,limit_q2,1240,0.25874493552348504,0.2620967741935484,0.003351838670063334,0.12580645161290321,87650000.0,0.01739470951569398,10111401.772447256
limit_band,limit_q1_low,1197,0.33454447632047596,0.30994152046783624,-0.02460295585263972,0.015873015873015872,37030000.0,0.0073488430503838905,5350406.098126833
marriage_label,married,2767,0.22687476471787532,0.24141669678352007,0.014541932065644747,0.2620166245030719,499380000.0,0.09910519153391054,40838055.606127016
marriage_label,single,3158,0.21850608848179517,0.20487650411652944,-0.013629584365265734,0.27422419252691577,499847680.0,0.0991980056553743,37036077.98010719
marriage_label,other,75,0.2259263168535151,0.16,-0.0659263168535151,0.21333333333333335,8550000.0,0.001696802810715157,693487.7588647145
sex_label,female,3598,0.21610799071514666,0.21289605336297943,-0.003211937352167238,0.28599221789883267,612690000.0,0.12159229404644088,46476884.75650881
sex_label,male,2402,0.2319702850003273,0.23355537052456288,0.0015850855242355855,0.24063280599500417,395087680.0,0.07840770595355913,32090736.588590104
