threshold,approval_rate,bad_capture_rate,expected_cost,false_negative_count,false_positive_count
0.03,0.0018333333333333333,1.0,20646150.0,0,4662
0.034956521739130435,0.0085,0.9992464204973625,20420900.0,1,4623
0.03991304347826087,0.021833333333333333,0.9992464204973625,19735900.0,1,4543
0.0448695652173913,0.04133333333333333,0.9984928409947249,18907650.0,2,4427
0.049826086956521735,0.06966666666666667,0.9977392614920875,17717650.0,3,4258
0.05478260869565217,0.09483333333333334,0.9962321024868124,16971400.0,5,4109
0.0597391304347826,0.12533333333333332,0.9939713639788997,16307650.0,8,3929
0.06469565217391304,0.14816666666666667,0.9932177844762623,15593900.0,9,3793
0.06965217391304347,0.16883333333333334,0.9902034664657121,15384900.0,13,3673
0.0746086956521739,0.18983333333333333,0.9849284099472494,15405150.0,20,3554
0.07956521739130434,0.21216666666666667,0.9811605124340618,15623150.0,25,3425
0.08452173913043477,0.2345,0.975885455915599,15868900.0,32,3298
0.0894782608695652,0.25433333333333336,0.9736247174076865,15571650.0,35,3182
0.09443478260869564,0.2748333333333333,0.9706103993971364,15285650.0,39,3063
0.09939130434782607,0.295,0.9623210248681235,16013900.0,50,2953
0.10434782608695652,0.31516666666666665,0.9577995478522984,15947400.0,56,2838
0.10930434782608694,0.3335,0.9547852298417483,16022400.0,60,2732
0.11426086956521737,0.3531666666666667,0.9495101733232856,16433900.0,67,2621
0.11921739130434782,0.37283333333333335,0.9427279577995479,16825650.0,76,2512
0.12417391304347825,0.393,0.9359457422758101,17019900.0,85,2400
0.1291304347826087,0.41633333333333333,0.9276563677467973,17543650.0,96,2271
0.13408695652173913,0.43666666666666665,0.9208741522230596,17772900.0,105,2158
0.13904347826086955,0.4578333333333333,0.908816880180859,18727900.0,121,2047
0.144,0.4761666666666667,0.8997739261492087,19709900.0,133,1949
0.14895652173913043,0.49783333333333335,0.8922381311228335,20215900.0,143,1829
0.15391304347826085,0.5168333333333334,0.8839487565938207,21041650.0,154,1726
0.1588695652173913,0.5355,0.8733986435568952,21846150.0,168,1628
0.16382608695652173,0.5518333333333333,0.8605877920120573,22810900.0,185,1547
0.16878260869565215,0.569,0.8455162019593067,24155900.0,205,1464
0.1737391304347826,0.5843333333333334,0.8357196684250189,25001650.0,218,1385
0.17869565217391303,0.5976666666666667,0.8281838733986435,25354150.0,228,1315
0.18365217391304345,0.6151666666666666,0.813112283345893,26008650.0,248,1230
0.1886086956521739,0.6278333333333334,0.8033157498116051,26480900.0,261,1167
0.19356521739130433,0.64,0.7935192162773173,26837900.0,274,1107
0.19852173913043475,0.6516666666666666,0.7799547852298417,27734150.0,292,1055
0.2034782608695652,0.6611666666666667,0.7656367746797287,28930400.0,311,1017
0.20843478260869563,0.669,0.7535795026375283,29916150.0,327,986
0.21339130434782605,0.6765,0.7400150715900528,31268650.0,345,959
0.2183478260869565,0.684,0.7272042200452148,32322900.0,362,931
0.22330434782608694,0.6916666666666667,0.7143933685003768,33198150.0,379,902
0.22826086956521738,0.6988333333333333,0.7030896759608138,33771150.0,394,874
0.2332173913043478,0.706,0.6955538809344386,34215650.0,404,841
0.23817391304347824,0.7133333333333334,0.6819894498869631,35119900.0,422,815
0.24313043478260868,0.7203333333333334,0.6737000753579503,35505150.0,433,784
0.2480869565217391,0.7268333333333333,0.6639035418236624,36008150.0,446,758
0.25304347826086954,0.733,0.6556141672946496,36517150.0,457,732
0.258,0.7388333333333333,0.6480783722682742,36923900.0,467,707
0.2629565217391304,0.7446666666666667,0.6397889977392615,37513400.0,478,683
0.26791304347826084,0.7491666666666666,0.6330067822155238,38191400.0,487,665
0.27286956521739125,0.7535,0.6262245666917859,38707400.0,496,648
0.27782608695652167,0.7581666666666667,0.6209495101733233,38911400.0,503,627
0.2827826086956522,0.7623333333333333,0.613413715146948,39466650.0,513,612
0.2877391304347826,0.7663333333333333,0.6066314996232103,40071900.0,522,597
0.292695652173913,0.7705,0.60060286360211,40497400.0,530,580
